日付,"機種名","台番号","G数","差枚","BB","RB","ART","合成確率","BB確率","RB確率","ART確率"
2026-06-23,"ネオアイムジャグラーEX","572","795","-414","1","2","0","1/265.0","1/795.0","1/397.5","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","573","1,968","-119","6","8","0","1/140.6","1/328.0","1/246.0","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","574","427","-260","1","0","0","1/427.0","1/427.0","1/0.0","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","575","2,757","+330","12","6","0","1/153.2","1/229.8","1/459.5","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","576","2,326","-218","9","2","0","1/211.5","1/258.4","1/1163.0","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","577","1,987","-274","7","2","0","1/220.8","1/283.9","1/993.5","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","582","907","+189","4","1","0","1/181.4","1/226.8","1/907.0","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","583","2,340","+1,396","15","6","0","1/111.4","1/156.0","1/390.0","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","584","2,284","+161","9","7","0","1/142.8","1/253.8","1/326.3","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","585","2,417","+526","12","4","0","1/151.1","1/201.4","1/604.2","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","586","4,244","+91","16","10","0","1/163.2","1/265.2","1/424.4","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","587","721","-302","2","1","0","1/240.3","1/360.5","1/721.0","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","588","3,242","+400","13","8","0","1/154.4","1/249.4","1/405.2","1/0.0"
2026-06-23,"ネオアイムジャグラーEX","589","2,448","-1,523","4","4","0","1/306.0","1/612.0","1/612.0","1/0.0"
2026-06-23,"北斗の拳 転生の章2","437","4,117","+3,804","64","12","0","1/54.2","1/64.3","1/343.1","1/0.0"
2026-06-23,"北斗の拳 転生の章2","438","1,735","-358","17","5","0","1/78.9","1/102.1","1/347.0","1/0.0"
2026-06-23,"北斗の拳 転生の章2","439","1,064","-751","7","2","0","1/118.2","1/152.0","1/532.0","1/0.0"
2026-06-23,"北斗の拳 転生の章2","440","3,844","-1,467","38","10","0","1/80.1","1/101.2","1/384.4","1/0.0"
2026-06-23,"北斗の拳 転生の章2","441","3,545","-1,821","30","8","0","1/93.3","1/118.2","1/443.1","1/0.0"
2026-06-23,"北斗の拳 転生の章2","442","2,682","+1,663","54","6","0","1/44.7","1/49.7","1/447.0","1/0.0"
2026-06-23,"北斗の拳 転生の章2","443","2,867","-625","29","8","0","1/77.5","1/98.9","1/358.4","1/0.0"
2026-06-23,"北斗の拳 転生の章2","444","1,246","-765","9","3","0","1/103.8","1/138.4","1/415.3","1/0.0"
2026-06-23,"北斗の拳 転生の章2","445","1,089","+246","12","5","0","1/64.1","1/90.8","1/217.8","1/0.0"
2026-06-23,"北斗の拳 転生の章2","446","4,370","+1,242","63","16","0","1/55.3","1/69.4","1/273.1","1/0.0"
2026-06-23,"北斗の拳 転生の章2","447","451","-597","1","1","0","1/225.5","1/451.0","1/451.0","1/0.0"
2026-06-23,"北斗の拳 転生の章2","448","2,527","-1,256","19","8","0","1/93.6","1/133.0","1/315.9","1/0.0"
2026-06-23,"北斗の拳 転生の章2","449","3,100","-442","32","10","0","1/73.8","1/96.9","1/310.0","1/0.0"
2026-06-23,"マイジャグラーV","393","4,062","-540","13","12","0","1/162.5","1/312.5","1/338.5","1/0.0"
2026-06-23,"マイジャグラーV","394","3,482","+203","13","11","0","1/145.1","1/267.8","1/316.5","1/0.0"
2026-06-23,"マイジャグラーV","395","2,439","-765","7","6","0","1/187.6","1/348.4","1/406.5","1/0.0"
2026-06-23,"マイジャグラーV","396","4,826","0","18","12","0","1/160.9","1/268.1","1/402.2","1/0.0"
2026-06-23,"マイジャグラーV","397","2,674","+274","10","7","0","1/157.3","1/267.4","1/382.0","1/0.0"
2026-06-23,"マイジャグラーV","398","1,526","-723","4","4","0","1/190.8","1/381.5","1/381.5","1/0.0"
2026-06-23,"マイジャグラーV","399","2,905","-863","8","7","0","1/193.7","1/363.1","1/415.0","1/0.0"
2026-06-23,"マイジャグラーV","400","5,845","+1,088","25","21","0","1/127.1","1/233.8","1/278.3","1/0.0"
2026-06-23,"マイジャグラーV","401","1,563","-611","4","3","0","1/223.3","1/390.8","1/521.0","1/0.0"
2026-06-23,"マイジャグラーV","402","5,323","-98","19","15","0","1/156.6","1/280.2","1/354.9","1/0.0"
2026-06-23,"マイジャグラーV","403","1,147","+35","4","3","0","1/163.9","1/286.8","1/382.3","1/0.0"
2026-06-23,"マイジャグラーV","404","5,548","-723","19","10","0","1/191.3","1/292.0","1/554.8","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","405","2,161","-653","19","8","0","1/80.0","1/113.7","1/270.1","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","406","1,228","+5,057","34","4","0","1/32.3","1/36.1","1/307.0","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","407","457","-386","2","2","0","1/114.2","1/228.5","1/228.5","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","408","2,224","+1,211","29","10","0","1/57.0","1/76.7","1/222.4","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","409","1,251","-1,340","4","8","0","1/104.2","1/312.8","1/156.4","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","410","1,380","-554","12","7","0","1/72.6","1/115.0","1/197.1","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","411","1,349","-1,298","7","4","0","1/122.6","1/192.7","1/337.2","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","412","4,212","-3,757","21","15","0","1/117.0","1/200.6","1/280.8","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","413","1,534","-1,733","5","7","0","1/127.8","1/306.8","1/219.1","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","414","2,125","+400","26","9","0","1/60.7","1/81.7","1/236.1","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","415","2,516","-1,842","14","10","0","1/104.8","1/179.7","1/251.6","1/0.0"
2026-06-23,"甲鉄城のカバネリ 海門(うなと)決戦","416","2,962","+1,046","38","13","0","1/58.1","1/77.9","1/227.8","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","550","3,344","+1,674","37","3","0","1/83.6","1/90.4","1/1114.7","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","551","405","-302","3","1","0","1/101.2","1/135.0","1/405.0","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","552","2,694","-1,663","9","2","0","1/244.9","1/299.3","1/1347.0","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","553","2,935","-1,565","11","4","0","1/195.7","1/266.8","1/733.8","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","554","1,077","-1,060","1","0","0","1/1077.0","1/1077.0","1/0.0","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","555","4,104","-347","32","5","0","1/110.9","1/128.2","1/820.8","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","556","2,217","-372","15","5","0","1/110.8","1/147.8","1/443.4","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","557","1,238","+35","10","1","0","1/112.5","1/123.8","1/1238.0","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","558","1,009","+91","11","2","0","1/77.6","1/91.7","1/504.5","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","559","3,394","+1,085","36","3","0","1/87.0","1/94.3","1/1131.3","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","560","2,487","-765","10","1","0","1/226.1","1/248.7","1/2487.0","1/0.0"
2026-06-23,"革命機ヴァルヴレイヴ2","561","2,448","+7,433","71","3","0","1/33.1","1/34.5","1/816.0","1/0.0"
2026-06-23,"スマスロ北斗の拳","427","5,754","-5,580","20","9","0","1/198.4","1/287.7","1/639.3","1/0.0"
2026-06-23,"スマスロ北斗の拳","428","1,533","+582","20","5","0","1/61.3","1/76.7","1/306.6","1/0.0"
2026-06-23,"スマスロ北斗の拳","429","489","+428","11","1","0","1/40.8","1/44.5","1/489.0","1/0.0"
2026-06-23,"スマスロ北斗の拳","430","3,606","-723","36","12","0","1/75.1","1/100.2","1/300.5","1/0.0"
2026-06-23,"スマスロ北斗の拳","431","551","+456","10","2","0","1/45.9","1/55.1","1/275.5","1/0.0"
2026-06-23,"スマスロ北斗の拳","432","872","+274","11","3","0","1/62.3","1/79.3","1/290.7","1/0.0"
2026-06-23,"スマスロ北斗の拳","433","1,047","+232","14","3","0","1/61.6","1/74.8","1/349.0","1/0.0"
2026-06-23,"スマスロ北斗の拳","434","2,451","-1,368","14","7","0","1/116.7","1/175.1","1/350.1","1/0.0"
2026-06-23,"スマスロ北斗の拳","435","916","-779","4","1","0","1/183.2","1/229.0","1/916.0","1/0.0"
2026-06-23,"スマスロ北斗の拳","436","4,360","-91","47","10","0","1/76.5","1/92.8","1/436.0","1/0.0"
2026-06-23,"モンキーターンV","467","2,540","+2,074","0","4","22","1/97.7","1/0.0","1/635.0","1/115.5"
2026-06-23,"モンキーターンV","468","4,396","-2,031","0","9","22","1/141.8","1/0.0","1/488.4","1/199.8"
