日付,"機種名","台番号","G数","差枚","BB","RB","ART","合成確率","BB確率","RB確率","ART確率"
2026-06-15,"ネオアイムジャグラーEX","572","2,272","-56","10","3","0","1/174.8","1/227.2","1/757.3","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","573","3,369","+1,242","16","10","0","1/129.6","1/210.6","1/336.9","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","574","1,390","+330","6","4","0","1/139.0","1/231.7","1/347.5","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","575","2,264","-568","7","5","0","1/188.7","1/323.4","1/452.8","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","576","2,011","-1,425","3","3","0","1/335.2","1/670.3","1/670.3","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","577","4,984","-190","17","13","0","1/166.1","1/293.2","1/383.4","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","582","1,136","-639","3","1","0","1/284.0","1/378.7","1/1136.0","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","583","2,056","+203","11","0","0","1/186.9","1/186.9","1/0.0","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","584","2,515","+793","12","8","0","1/125.8","1/209.6","1/314.4","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","585","860","-583","1","1","0","1/430.0","1/860.0","1/860.0","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","586","553","-442","1","1","0","1/276.5","1/553.0","1/553.0","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","587","2,423","-316","8","7","0","1/161.5","1/302.9","1/346.1","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","588","469","-625","0","0","0","1/0.0","1/0.0","1/0.0","1/0.0"
2026-06-15,"ネオアイムジャグラーEX","589","6,320","+2,474","32","22","0","1/117.0","1/197.5","1/287.3","1/0.0"
2026-06-15,"スマスロ北斗の拳","437","1,971","-1,579","8","4","0","1/164.2","1/246.4","1/492.8","1/0.0"
2026-06-15,"スマスロ北斗の拳","438","1,367","-246","12","3","0","1/91.1","1/113.9","1/455.7","1/0.0"
2026-06-15,"スマスロ北斗の拳","439","782","-133","7","2","0","1/86.9","1/111.7","1/391.0","1/0.0"
2026-06-15,"スマスロ北斗の拳","440","521","+709","11","1","0","1/43.4","1/47.4","1/521.0","1/0.0"
2026-06-15,"スマスロ北斗の拳","441","1,009","-1,088","2","1","0","1/336.3","1/504.5","1/1009.0","1/0.0"
2026-06-15,"スマスロ北斗の拳","442","1,068","-91","10","3","0","1/82.2","1/106.8","1/356.0","1/0.0"
2026-06-15,"スマスロ北斗の拳","443","1,032","-204","9","2","0","1/93.8","1/114.7","1/516.0","1/0.0"
2026-06-15,"スマスロ北斗の拳","444","1,758","-1,439","8","5","0","1/135.2","1/219.8","1/351.6","1/0.0"
2026-06-15,"スマスロ北斗の拳","445","2,045","-1,060","14","4","0","1/113.6","1/146.1","1/511.2","1/0.0"
2026-06-15,"スマスロ北斗の拳","446","822","-175","8","1","0","1/91.3","1/102.8","1/822.0","1/0.0"
2026-06-15,"スマスロ北斗の拳","447","14","-14","0","0","0","1/0.0","1/0.0","1/0.0","1/0.0"
2026-06-15,"スマスロ北斗の拳","448","2,236","-2,768","4","3","0","1/319.4","1/559.0","1/745.3","1/0.0"
2026-06-15,"スマスロ北斗の拳","449","1,629","-1,270","6","2","0","1/203.6","1/271.5","1/814.5","1/0.0"
2026-06-15,"マイジャグラーV","393","6,759","-877","24","18","0","1/160.9","1/281.6","1/375.5","1/0.0"
2026-06-15,"マイジャグラーV","394","1,224","-526","2","5","0","1/174.9","1/612.0","1/244.8","1/0.0"
2026-06-15,"マイジャグラーV","395","4,962","-428","16","14","0","1/165.4","1/310.1","1/354.4","1/0.0"
2026-06-15,"マイジャグラーV","396","3,406","-1,018","10","8","0","1/189.2","1/340.6","1/425.8","1/0.0"
2026-06-15,"マイジャグラーV","397","3,136","-765","8","8","0","1/196.0","1/392.0","1/392.0","1/0.0"
2026-06-15,"マイジャグラーV","398","2,088","+119","8","5","0","1/160.6","1/261.0","1/417.6","1/0.0"
2026-06-15,"マイジャグラーV","399","7,353","+316","29","18","0","1/156.4","1/253.6","1/408.5","1/0.0"
2026-06-15,"マイジャグラーV","400","1,079","+91","5","1","0","1/179.8","1/215.8","1/1079.0","1/0.0"
2026-06-15,"マイジャグラーV","401","7,623","+2,537","41","21","0","1/123.0","1/185.9","1/363.0","1/0.0"
2026-06-15,"マイジャグラーV","402","1,634","+147","7","2","0","1/181.6","1/233.4","1/817.0","1/0.0"
2026-06-15,"マイジャグラーV","403","1,118","-709","1","2","0","1/372.7","1/1118.0","1/559.0","1/0.0"
2026-06-15,"マイジャグラーV","404","5,506","-1,383","16","13","0","1/189.9","1/344.1","1/423.5","1/0.0"
2026-06-15,"甲鉄城のカバネリ 海門(うなと)決戦","405","4,232","-1,800","38","16","0","1/78.4","1/111.4","1/264.5","1/0.0"
2026-06-15,"甲鉄城のカバネリ 海門(うなと)決戦","406","3,857","-1,846","30","16","0","1/83.8","1/128.6","1/241.1","1/0.0"
2026-06-15,"甲鉄城のカバネリ 海門(うなと)決戦","407","3,716","-2,810","19","13","0","1/116.1","1/195.6","1/285.8","1/0.0"
2026-06-15,"甲鉄城のカバネリ 海門(うなと)決戦","408","3,672","-2,326","22","16","0","1/96.6","1/166.9","1/229.5","1/0.0"
