日付,"機種名","台番号","G数","差枚","BB","RB","ART","合成確率","BB確率","RB確率","ART確率"
2026-06-26,"ネオアイムジャグラーEX","572","5,458","+937","26","8","0","1/160.5","1/209.9","1/682.2","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","573","2,988","-316","9","10","0","1/157.3","1/332.0","1/298.8","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","574","3,199","-1,018","7","9","0","1/199.9","1/457.0","1/355.4","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","575","2,234","+91","10","3","0","1/171.8","1/223.4","1/744.7","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","576","1,324","-681","3","2","0","1/264.8","1/441.3","1/662.0","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","577","3,221","-1,228","6","11","0","1/189.5","1/536.8","1/292.8","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","582","3,054","+596","13","8","0","1/145.4","1/234.9","1/381.8","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","583","1,109","-526","3","1","0","1/277.2","1/369.7","1/1109.0","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","584","2,851","-190","10","9","0","1/150.1","1/285.1","1/316.8","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","585","2,775","-835","7","8","0","1/185.0","1/396.4","1/346.9","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","586","1,529","-1,228","2","2","0","1/382.2","1/764.5","1/764.5","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","587","790","-358","2","1","0","1/263.3","1/395.0","1/790.0","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","588","4,151","+189","15","13","0","1/148.2","1/276.7","1/319.3","1/0.0"
2026-06-26,"ネオアイムジャグラーEX","589","1,696","-232","6","1","0","1/242.3","1/282.7","1/1696.0","1/0.0"
2026-06-26,"北斗の拳 転生の章2","437","2,334","+512","31","8","0","1/59.8","1/75.3","1/291.8","1/0.0"
2026-06-26,"北斗の拳 転生の章2","438","5,839","-5,216","28","12","0","1/146.0","1/208.5","1/486.6","1/0.0"
2026-06-26,"北斗の拳 転生の章2","439","2,721","+3,169","57","11","0","1/40.0","1/47.7","1/247.4","1/0.0"
2026-06-26,"北斗の拳 転生の章2","440","1,890","-1,832","9","5","0","1/135.0","1/210.0","1/378.0","1/0.0"
2026-06-26,"北斗の拳 転生の章2","441","4,268","+302","48","18","0","1/64.7","1/88.9","1/237.1","1/0.0"
2026-06-26,"北斗の拳 転生の章2","442","1,941","+793","30","6","0","1/53.9","1/64.7","1/323.5","1/0.0"
2026-06-26,"北斗の拳 転生の章2","443","1,077","-470","8","2","0","1/107.7","1/134.6","1/538.5","1/0.0"
2026-06-26,"北斗の拳 転生の章2","444","2,612","+526","44","5","0","1/53.3","1/59.4","1/522.4","1/0.0"
2026-06-26,"北斗の拳 転生の章2","445","368","+1,312","12","2","0","1/26.3","1/30.7","1/184.0","1/0.0"
2026-06-26,"北斗の拳 転生の章2","446","3,396","+6,485","78","12","0","1/37.7","1/43.5","1/283.0","1/0.0"
2026-06-26,"北斗の拳 転生の章2","447","4,017","+1,969","60","13","0","1/55.0","1/67.0","1/309.0","1/0.0"
2026-06-26,"北斗の拳 転生の章2","448","1,020","-442","9","1","0","1/102.0","1/113.3","1/1020.0","1/0.0"
2026-06-26,"北斗の拳 転生の章2","449","2,319","+807","30","6","0","1/64.4","1/77.3","1/386.5","1/0.0"
2026-06-26,"マイジャグラーV","393","4,507","+470","16","15","0","1/145.4","1/281.7","1/300.5","1/0.0"
2026-06-26,"マイジャグラーV","394","5,661","-540","16","21","0","1/153.0","1/353.8","1/269.6","1/0.0"
2026-06-26,"マイジャグラーV","395","4,608","+1,551","25","10","0","1/131.7","1/184.3","1/460.8","1/0.0"
2026-06-26,"マイジャグラーV","396","2,543","-260","8","6","0","1/181.6","1/317.9","1/423.8","1/0.0"
2026-06-26,"マイジャグラーV","397","5,912","-1,214","17","13","0","1/197.1","1/347.8","1/454.8","1/0.0"
2026-06-26,"マイジャグラーV","398","1,522","-933","2","4","0","1/253.7","1/761.0","1/380.5","1/0.0"
2026-06-26,"マイジャグラーV","399","3,695","+498","15","13","0","1/132.0","1/246.3","1/284.2","1/0.0"
2026-06-26,"マイジャグラーV","400","2,510","-933","7","5","0","1/209.2","1/358.6","1/502.0","1/0.0"
2026-06-26,"マイジャグラーV","401","5,920","+554","23","18","0","1/144.4","1/257.4","1/328.9","1/0.0"
2026-06-26,"マイジャグラーV","402","2,116","-709","7","3","0","1/211.6","1/302.3","1/705.3","1/0.0"
2026-06-26,"マイジャグラーV","403","5,562","+919","21","17","0","1/146.4","1/264.9","1/327.2","1/0.0"
2026-06-26,"マイジャグラーV","404","4,646","+1,003","20","16","0","1/129.1","1/232.3","1/290.4","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","405","3,224","+2,095","49","16","0","1/49.6","1/65.8","1/201.5","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","406","2,680","-1,551","21","8","0","1/92.4","1/127.6","1/335.0","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","407","3,285","+400","43","13","0","1/58.7","1/76.4","1/252.7","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","408","1,526","+2,748","36","9","0","1/33.9","1/42.4","1/169.6","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","409","2,771","+1,102","38","15","0","1/52.3","1/72.9","1/184.7","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","410","1,657","-1,046","13","7","0","1/82.8","1/127.5","1/236.7","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","411","2,365","-274","25","13","0","1/62.2","1/94.6","1/181.9","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","412","2,540","-1,821","14","10","0","1/105.8","1/181.4","1/254.0","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","413","2,709","+3,106","51","9","0","1/45.1","1/53.1","1/301.0","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","414","2,196","-1,018","18","10","0","1/78.4","1/122.0","1/219.6","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","415","1,313","-386","13","6","0","1/69.1","1/101.0","1/218.8","1/0.0"
2026-06-26,"甲鉄城のカバネリ 海門(うなと)決戦","416","4,484","-1,832","34","20","0","1/83.0","1/131.9","1/224.2","1/0.0"
