日付,"機種名","台番号","G数","差枚","BB","RB","ART","合成確率","BB確率","RB確率","ART確率"
2026-06-17,"ネオアイムジャグラーEX","572","2,728","+1,200","18","4","0","1/124.0","1/151.6","1/682.0","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","573","1,863","+1,214","12","4","0","1/116.4","1/155.2","1/465.8","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","574","3,474","+582","12","17","0","1/119.8","1/289.5","1/204.4","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","575","1,515","+1,074","9","5","0","1/108.2","1/168.3","1/303.0","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","576","1,339","-737","2","3","0","1/267.8","1/669.5","1/446.3","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","577","4,615","-779","14","13","0","1/170.9","1/329.6","1/355.0","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","582","1,812","-891","3","6","0","1/201.3","1/604.0","1/302.0","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","583","1,966","-428","7","3","0","1/196.6","1/280.9","1/655.3","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","584","457","-246","1","0","0","1/457.0","1/457.0","1/0.0","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","585","3,515","+947","16","10","0","1/135.2","1/219.7","1/351.5","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","586","2,286","-737","6","5","0","1/207.8","1/381.0","1/457.2","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","587","1,224","+442","7","1","0","1/153.0","1/174.9","1/1224.0","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","588","1,670","-737","3","6","0","1/185.6","1/556.7","1/278.3","1/0.0"
2026-06-17,"ネオアイムジャグラーEX","589","2,959","-456","12","0","0","1/246.6","1/246.6","1/0.0","1/0.0"
2026-06-17,"スマスロ北斗の拳","437","4,261","-2,979","21","5","0","1/163.9","1/202.9","1/852.2","1/0.0"
2026-06-17,"スマスロ北斗の拳","438","1,950","-1,172","10","7","0","1/114.7","1/195.0","1/278.6","1/0.0"
2026-06-17,"スマスロ北斗の拳","439","1,897","+1,368","31","4","0","1/54.2","1/61.2","1/474.2","1/0.0"
2026-06-17,"スマスロ北斗の拳","440","1,382","-133","13","5","0","1/76.8","1/106.3","1/276.4","1/0.0"
2026-06-17,"スマスロ北斗の拳","441","1,437","-260","12","4","0","1/89.8","1/119.8","1/359.2","1/0.0"
2026-06-17,"スマスロ北斗の拳","442","3,158","-1,884","20","7","0","1/117.0","1/157.9","1/451.1","1/0.0"
2026-06-17,"スマスロ北斗の拳","443","1,076","+358","17","3","0","1/53.8","1/63.3","1/358.7","1/0.0"
2026-06-17,"スマスロ北斗の拳","444","542","+288","8","2","0","1/54.2","1/67.8","1/271.0","1/0.0"
2026-06-17,"スマスロ北斗の拳","445","1,237","+2,727","38","3","0","1/30.2","1/32.6","1/412.3","1/0.0"
2026-06-17,"スマスロ北斗の拳","446","279","-246","1","1","0","1/139.5","1/279.0","1/279.0","1/0.0"
2026-06-17,"スマスロ北斗の拳","447","1,327","+428","16","5","0","1/63.2","1/82.9","1/265.4","1/0.0"
2026-06-17,"スマスロ北斗の拳","448","1,704","-961","12","2","0","1/121.7","1/142.0","1/852.0","1/0.0"
2026-06-17,"スマスロ北斗の拳","449","2,055","+330","25","3","0","1/73.4","1/82.2","1/685.0","1/0.0"
2026-06-17,"マイジャグラーV","393","5,104","-1,046","14","15","0","1/176.0","1/364.6","1/340.3","1/0.0"
2026-06-17,"マイジャグラーV","394","1,773","+49","8","1","0","1/197.0","1/221.6","1/1773.0","1/0.0"
