日付,"機種名","台番号","G数","差枚","BB","RB","ART","合成確率","BB確率","RB確率","ART確率"
2026-06-20,"ネオアイムジャグラーEX","572","419","-372","0","1","0","1/419.0","1/0.0","1/419.0","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","573","5,617","+217","21","20","0","1/137.0","1/267.5","1/280.9","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","574","2,327","+709","11","5","0","1/145.4","1/211.5","1/465.4","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","575","1,513","+330","6","5","0","1/137.5","1/252.2","1/302.6","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","576","2,591","+260","11","5","0","1/161.9","1/235.5","1/518.2","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","577","1,114","-358","3","2","0","1/222.8","1/371.3","1/557.0","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","582","4,620","+1,758","24","12","0","1/128.3","1/192.5","1/385.0","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","583","817","-470","1","2","0","1/272.3","1/817.0","1/408.5","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","584","1,570","-765","2","6","0","1/196.2","1/785.0","1/261.7","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","585","3,463","+1,551","20","9","0","1/119.4","1/173.2","1/384.8","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","586","5,945","+1,927","30","17","0","1/126.5","1/198.2","1/349.7","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","587","456","-147","1","0","0","1/456.0","1/456.0","1/0.0","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","588","675","-246","2","0","0","1/337.5","1/337.5","1/0.0","1/0.0"
2026-06-20,"ネオアイムジャグラーEX","589","4,599","-1,736","11","11","0","1/209.0","1/418.1","1/418.1","1/0.0"
2026-06-20,"スマスロ北斗の拳","437","5,100","-1,421","44","13","0","1/89.5","1/115.9","1/392.3","1/0.0"
2026-06-20,"スマスロ北斗の拳","438","813","-695","5","1","0","1/135.5","1/162.6","1/813.0","1/0.0"
2026-06-20,"スマスロ北斗の拳","439","1,208","-512","8","4","0","1/100.7","1/151.0","1/302.0","1/0.0"
2026-06-20,"スマスロ北斗の拳","440","1,969","-1,074","13","3","0","1/123.1","1/151.5","1/656.3","1/0.0"
2026-06-20,"スマスロ北斗の拳","441","777","+1,821","23","1","0","1/32.4","1/33.8","1/777.0","1/0.0"
2026-06-20,"スマスロ北斗の拳","442","2,703","-1,270","20","8","0","1/96.5","1/135.2","1/337.9","1/0.0"
2026-06-20,"スマスロ北斗の拳","443","967","-484","6","2","0","1/120.9","1/161.2","1/483.5","1/0.0"
2026-06-20,"スマスロ北斗の拳","444","3,573","-3,315","14","7","0","1/170.1","1/255.2","1/510.4","1/0.0"
2026-06-20,"スマスロ北斗の拳","445","310","-105","2","1","0","1/103.3","1/155.0","1/310.0","1/0.0"
2026-06-20,"スマスロ北斗の拳","446","709","+933","16","2","0","1/39.4","1/44.3","1/354.5","1/0.0"
2026-06-20,"スマスロ北斗の拳","447","2,251","-42","23","4","0","1/83.4","1/97.9","1/562.8","1/0.0"
2026-06-20,"スマスロ北斗の拳","448","2,417","-642","24","3","0","1/89.5","1/100.7","1/805.7","1/0.0"
2026-06-20,"スマスロ北斗の拳","449","3,882","-793","37","9","0","1/84.4","1/104.9","1/431.3","1/0.0"
2026-06-20,"マイジャグラーV","393","2,861","-1,863","6","4","0","1/286.1","1/476.8","1/715.2","1/0.0"
2026-06-20,"マイジャグラーV","394","4,664","-147","15","14","0","1/160.8","1/310.9","1/333.1","1/0.0"
2026-06-20,"マイジャグラーV","395","1,472","-849","2","4","0","1/245.3","1/736.0","1/368.0","1/0.0"
2026-06-20,"マイジャグラーV","396","3,087","-653","9","10","0","1/162.5","1/343.0","1/308.7","1/0.0"
2026-06-20,"マイジャグラーV","397","5,777","-695","17","17","0","1/169.9","1/339.8","1/339.8","1/0.0"
2026-06-20,"マイジャグラーV","398","769","-344","1","2","0","1/256.3","1/769.0","1/384.5","1/0.0"
2026-06-20,"マイジャグラーV","399","3,647","-849","11","8","0","1/191.9","1/331.5","1/455.9","1/0.0"
2026-06-20,"マイジャグラーV","400","1,222","-793","2","1","0","1/407.3","1/611.0","1/1222.0","1/0.0"
2026-06-20,"マイジャグラーV","401","3,246","-386","11","9","0","1/162.3","1/295.1","1/360.7","1/0.0"
2026-06-20,"マイジャグラーV","402","6,428","-470","21","24","0","1/142.8","1/306.1","1/267.8","1/0.0"
2026-06-20,"マイジャグラーV","403","1,392","-470","3","3","0","1/232.0","1/464.0","1/464.0","1/0.0"
2026-06-20,"マイジャグラーV","404","3,853","-1,481","11","4","0","1/256.9","1/350.3","1/963.2","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","405","4,544","-2,579","38","18","0","1/81.1","1/119.6","1/252.4","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","406","4,537","+390","51","17","0","1/66.7","1/89.0","1/266.9","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","407","4,985","-1,046","46","21","0","1/74.4","1/108.4","1/237.4","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","408","4,076","-554","41","14","0","1/74.1","1/99.4","1/291.1","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","409","4,021","-3,863","19","14","0","1/121.8","1/211.6","1/287.2","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","410","4,841","+3,761","68","29","0","1/49.9","1/71.2","1/166.9","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","411","3,720","+4,716","66","16","0","1/45.4","1/56.4","1/232.5","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","412","5,148","-4,648","24","17","0","1/125.6","1/214.5","1/302.8","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","413","5,739","-3,463","40","17","0","1/100.7","1/143.5","1/337.6","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","414","5,068","-3,921","30","17","0","1/107.8","1/168.9","1/298.1","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","415","5,103","-1,589","50","17","0","1/76.2","1/102.1","1/300.2","1/0.0"
2026-06-20,"甲鉄城のカバネリ 海門(うなと)決戦","416","5,136","-119","51","25","0","1/67.6","1/100.7","1/205.4","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","550","3,141","-2,010","8","1","0","1/349.0","1/392.6","1/3141.0","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","551","4,412","-3,336","18","5","0","1/191.8","1/245.1","1/882.4","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","552","1,781","-147","21","2","0","1/77.4","1/84.8","1/890.5","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","553","1,843","-56","27","4","0","1/59.5","1/68.3","1/460.8","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","554","1,276","-849","7","0","0","1/182.3","1/182.3","1/0.0","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","555","461","+793","5","0","0","1/92.2","1/92.2","1/0.0","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","556","1,978","-2,726","1","2","0","1/659.3","1/1978.0","1/989.0","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","557","4,239","-2,221","28","4","0","1/132.5","1/151.4","1/1059.8","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","558","812","+2,137","16","0","0","1/50.8","1/50.8","1/0.0","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","559","3,484","+6,959","77","4","0","1/43.0","1/45.2","1/871.0","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","560","4,872","-2,621","22","5","0","1/180.4","1/221.5","1/974.4","1/0.0"
2026-06-20,"革命機ヴァルヴレイヴ2","561","2,573","-1,228","18","1","0","1/135.4","1/142.9","1/2573.0","1/0.0"
2026-06-20,"北斗の拳 転生の章2","427","5,140","+10,464","103","19","0","1/42.1","1/49.9","1/270.5","1/0.0"
2026-06-20,"北斗の拳 転生の章2","428","5,680","-726","60","17","0","1/73.8","1/94.7","1/334.1","1/0.0"
2026-06-20,"北斗の拳 転生の章2","429","5,571","-3,147","41","10","0","1/109.2","1/135.9","1/557.1","1/0.0"
2026-06-20,"北斗の拳 転生の章2","430","5,401","+2,432","86","18","0","1/51.9","1/62.8","1/300.1","1/0.0"
2026-06-20,"北斗の拳 転生の章2","431","5,487","-1,607","53","19","0","1/76.2","1/103.5","1/288.8","1/0.0"
2026-06-20,"北斗の拳 転生の章2","432","5,924","-70","66","17","0","1/71.4","1/89.8","1/348.5","1/0.0"
2026-06-20,"北斗の拳 転生の章2","433","5,552","-1,252","56","14","0","1/79.3","1/99.1","1/396.6","1/0.0"
2026-06-20,"北斗の拳 転生の章2","434","3,898","+7,557","87","18","0","1/37.1","1/44.8","1/216.6","1/0.0"
2026-06-20,"北斗の拳 転生の章2","435","6,695","-2,515","55","18","0","1/91.7","1/121.7","1/371.9","1/0.0"
2026-06-20,"北斗の拳 転生の章2","436","6,732","-1,635","65","17","0","1/82.1","1/103.6","1/396.0","1/0.0"
2026-06-20,"モンキーターンV","467","3,808","+119","0","10","31","1/92.9","1/0.0","1/380.8","1/122.8"
2026-06-20,"モンキーターンV","468","5,634","-3,652","0","12","25","1/152.3","1/0.0","1/469.5","1/225.4"
2026-06-20,"モンキーターンV","469","2,430","-2,094","0","7","9","1/151.9","1/0.0","1/347.1","1/270.0"
2026-06-20,"モンキーターンV","470","5,709","-175","0","12","45","1/100.2","1/0.0","1/475.8","1/126.9"
2026-06-20,"モンキーターンV","471","1,573","-1,354","0","4","6","1/157.3","1/0.0","1/393.2","1/262.2"
2026-06-20,"モンキーターンV","472","4,987","+1,046","0","11","38","1/101.8","1/0.0","1/453.4","1/131.2"
2026-06-20,"モンキーターンV","473","690","-554","0","2","3","1/138.0","1/0.0","1/345.0","1/230.0"
2026-06-20,"モンキーターンV","474","1,060","-512","0","2","6","1/132.5","1/0.0","1/530.0","1/176.7"
2026-06-20,"モンキーターンV","475","6,195","-1,800","0","14","31","1/137.7","1/0.0","1/442.5","1/199.8"
2026-06-20,"東京喰種","454","6,999","+769","0","18","34","1/134.6","1/0.0","1/388.8","1/205.9"
2026-06-20,"東京喰種","455","3,933","-2,389","0","14","13","1/145.7","1/0.0","1/280.9","1/302.5"
2026-06-20,"東京喰種","456","7,283","+4,125","0","16","41","1/127.8","1/0.0","1/455.2","1/177.6"
2026-06-20,"東京喰種","457","7,474","+200","0","23","35","1/128.9","1/0.0","1/325.0","1/213.5"
2026-06-20,"東京喰種","458","9,301","+9,686","0","20","80","1/93.0","1/0.0","1/465.1","1/116.3"
2026-06-20,"東京喰種","459","4,036","-1,102","0","12","19","1/130.2","1/0.0","1/336.3","1/212.4"
2026-06-20,"東京喰種","460","8,962","-1,547","0","32","51","1/108.0","1/0.0","1/280.1","1/175.7"
2026-06-20,"東京喰種","461","8,596","+4,625","0","23","55","1/110.2","1/0.0","1/373.7","1/156.3"
2026-06-20,"東京喰種","462","6,906","-3,375","0","21","27","1/143.9","1/0.0","1/328.9","1/255.8"
2026-06-20,"ミリオンゴッド‐神々の軌跡‐","562","6,174","+243","0","28","0","1/220.5","1/0.0","1/220.5","1/0.0"
2026-06-20,"ミリオンゴッド‐神々の軌跡‐","563","4,225","-1,116","7","21","0","1/150.9","1/603.6","1/201.2","1/0.0"
2026-06-20,"ミリオンゴッド‐神々の軌跡‐","564","6,876","-2,330","0","24","0","1/286.5","1/0.0","1/286.5","1/0.0"
2026-06-20,"ミリオンゴッド‐神々の軌跡‐","565","4,062","-3,905","7","12","0","1/213.8","1/580.3","1/338.5","1/0.0"
2026-06-20,"ミリオンゴッド‐神々の軌跡‐","566","6,064","-1,463","7","29","0","1/168.4","1/866.3","1/209.1","1/0.0"
2026-06-20,"ミリオンゴッド‐神々の軌跡‐","567","5,995","-2,410","0","19","0","1/315.5","1/0.0","1/315.5","1/0.0"
2026-06-20,"ミリオンゴッド‐神々の軌跡‐","568","6,744","-3,442","4","25","0","1/232.6","1/1686.0","1/269.8","1/0.0"
2026-06-20,"ビッグドリーム THE GOLDEN PUSHER","421","5,385","-3,784","43","14","0","1/94.5","1/125.2","1/384.6","1/0.0"
2026-06-20,"ビッグドリーム THE GOLDEN PUSHER","422","3,224","-2,136","24","10","0","1/94.8","1/134.3","1/322.4","1/0.0"
2026-06-20,"ビッグドリーム THE GOLDEN PUSHER","423","4,601","-5,716","17","14","0","1/148.4","1/270.6","1/328.6","1/0.0"
2026-06-20,"ビッグドリーム THE GOLDEN PUSHER","424","2,659","-2,221","16","9","0","1/106.4","1/166.2","1/295.4","1/0.0"
2026-06-20,"ビッグドリーム THE GOLDEN PUSHER","425","6,340","-102","83","23","0","1/59.8","1/76.4","1/275.7","1/0.0"
2026-06-20,"ビッグドリーム THE GOLDEN PUSHER","426","3,116","-2,957","18","8","0","1/119.8","1/173.1","1/389.5","1/0.0"
2026-06-20,"スマスロ炎炎ノ消防隊2","450","5,544","-288","33","18","0","1/108.7","1/168.0","1/308.0","1/0.0"
2026-06-20,"スマスロ炎炎ノ消防隊2","451","6,440","-1,916","36","14","0","1/128.8","1/178.9","1/460.0","1/0.0"
2026-06-20,"スマスロ炎炎ノ消防隊2","452","6,173","+2,179","43","18","0","1/101.2","1/143.6","1/342.9","1/0.0"
2026-06-20,"スマスロ炎炎ノ消防隊2","453","5,970","-1,694","23","20","0","1/138.8","1/259.6","1/298.5","1/0.0"
2026-06-20,"ソードアート・オンラインII","463","8,659","+9,414","76","0","0","1/113.9","1/113.9","1/0.0","1/0.0"
2026-06-20,"ソードアート・オンラインII","464","8,197","-91","74","0","0","1/110.8","1/110.8","1/0.0","1/0.0"
2026-06-20,"ソードアート・オンラインII","465","8,150","-2,389","73","0","0","1/111.6","1/111.6","1/0.0","1/0.0"
2026-06-20,"ソードアート・オンラインII","466","9,259","-2,094","71","0","0","1/130.4","1/130.4","1/0.0","1/0.0"
2026-06-20,"バイオハザード RE:3","417","2,707","+2,053","41","50","0","1/29.7","1/66.0","1/54.1","1/0.0"
2026-06-20,"バイオハザード RE:3","418","2,584","-2,642","12","32","0","1/58.7","1/215.3","1/80.8","1/0.0"
2026-06-20,"バイオハザード RE:3","419","2,374","-1,916","17","26","0","1/55.2","1/139.6","1/91.3","1/0.0"
2026-06-20,"バイオハザード RE:3","420","2,232","-2,157","12","27","0","1/57.2","1/186.0","1/82.7","1/0.0"
2026-06-20,"ファンキージャグラー2","578","2,522","+161","10","7","0","1/148.4","1/252.2","1/360.3","1/0.0"
2026-06-20,"ファンキージャグラー2","579","3,228","-91","14","3","0","1/189.9","1/230.6","1/1076.0","1/0.0"
2026-06-20,"ファンキージャグラー2","580","981","-400","2","3","0","1/196.2","1/490.5","1/327.0","1/0.0"
2026-06-20,"ファンキージャグラー2","581","4,196","-611","15","9","0","1/174.8","1/279.7","1/466.2","1/0.0"
2026-06-20,"東京リベンジャーズ","514","1,021","-849","2","0","0","1/510.5","1/510.5","1/0.0","1/0.0"
2026-06-20,"東京リベンジャーズ","515","1,625","-877","4","4","0","1/203.1","1/406.2","1/406.2","1/0.0"
2026-06-20,"東京リベンジャーズ","516","1,812","-1,719","2","4","0","1/302.0","1/906.0","1/453.0","1/0.0"
2026-06-20,"東京リベンジャーズ","517","8,396","+1,021","46","15","0","1/137.6","1/182.5","1/559.7","1/0.0"
2026-06-20,"機動戦士ガンダムユニコーン 覚醒DRIVE","476","2,218","-695","36","8","0","1/50.4","1/61.6","1/277.2","1/0.0"
2026-06-20,"機動戦士ガンダムユニコーン 覚醒DRIVE","477","1,389","-765","20","5","0","1/55.6","1/69.5","1/277.8","1/0.0"
2026-06-20,"機動戦士ガンダムユニコーン 覚醒DRIVE","478","444","+316","8","1","0","1/49.3","1/55.5","1/444.0","1/0.0"
